id_gmina,nazwa
747,Wartkowice
748,Zadzim
749,Dobryszyce
750,Gidle
751,Gomunice
752,Kamieńsk
753,Kobiele Wielkie
754,Kodrąb
755,Lgota Wielka
756,Ładzice
757,Masłowice
758,Przedbórz
759,Radomsko
760,Radomsko
761,Wielgomłyny
762,Żytno
763,Biała Rawska
764,Cielądz
765,Rawa Mazowiecka
766,Rawa Mazowiecka
767,Regnów
768,Sadkowice
769,Błaszki
770,Brąszewice
771,Brzeźnio
772,Burzenin
773,Goszczanów
774,Klonowa
775,Sieradz
776,Sieradz
777,Warta
778,Wróblew
779,Złoczew
780,Skierniewice
781,Bolimów
782,Głuchów
783,Godzianów
784,Kowiesy
785,Lipce Reymontowskie
786,Maków
787,Nowy Kawęczyn
788,Skierniewice
789,Słupia
790,Będków
791,Będków
792,Budziszewice
793,Budziszewice
794,Czerniewice
795,Czerniewice
796,Inowłódz
797,Inowłódz
798,Lubochnia
799,Lubochnia
800,Rokiciny
801,Rokiciny
802,Rzeczyca
803,Rzeczyca
804,Tomaszów Mazowiecki
805,Tomaszów Mazowiecki
806,Tomaszów Mazowiecki
807,Tomaszów Mazowiecki
808,Ujazd
809,Ujazd
810,Żelechlinek
811,Żelechlinek
812,Biała
813,Czarnożyły
814,Konopnica
815,Mokrsko
816,Osjaków
817,Ostrówek
818,Pątnów
819,Skomlin
820,Wieluń
821,Wierzchlas
822,Bolesławiec
823,Czastary
824,Galewice
825,Lututów
826,Łubnice
827,Sokolniki
828,Wieruszów
829,Szadek
830,Zapolice
831,Zduńska Wola
832,Zduńska Wola
833,Aleksandrów Łódzki
834,Głowno
835,Głowno
836,Ozorków
837,Ozorków
838,Parzęczew
839,Stryków
840,Zgierz
841,Zgierz
842,Bochnia
843,Bochnia
844,Drwinia
845,Lipnica Murowana
846,Łapanów
847,Nowy Wiśnicz
848,Rzezawa
849,Trzciana
850,Żegocina
851,Borzęcin
852,Borzęcin
853,Brzesko
854,Brzesko
855,Czchów
856,Czchów
857,Dębno
858,Dębno
859,Gnojnik
860,Gnojnik
861,Iwkowa
862,Iwkowa
863,Szczurowa
864,Szczurowa
865,Alwernia
866,Babice
867,Chrzanów
868,Libiąż
869,Trzebinia
870,Bolesław
871,Dąbrowa Tarnowska
872,Gręboszów
873,Mędrzechów
874,Olesno
875,Radgoszcz
876,Szczucin
877,Biecz
878,Bobowa
879,Gorlice
880,Gorlice
881,Lipinki
882,Łużna
883,Moszczenica
884,Ropa
885,Sękowa
886,Uście Gorlickie
887,Czernichów
888,Igołomia-Wawrzeńczyce
889,Iwanowice
890,Jerzmanowice-Przeginia
891,Kocmyrzów-Luborzyca
892,Krzeszowice
893,Liszki
894,Michałowice
895,Mogilany
896,Skała
897,Skawina
898,Słomniki
899,Sułoszowa
900,Świątniki Górne
901,Wielka Wieś
902,Zabierzów
903,Zielonki
904,Kraków
905,Dobra
906,Jodłownik
907,Kamienica
908,Laskowa
909,Limanowa
910,Limanowa
911,Łukowica
912,Mszana Dolna
913,Mszana Dolna
914,Niedźwiedź
915,Słopnice
916,Tymbark
917,Charsznica
918,Gołcza
919,Kozłów
920,Książ Wielki
921,Miechów
922,Racławice
923,Słaboszów
924,Dobczyce
925,Lubień
926,Myślenice
927,Pcim
928,Raciechowice
929,Siepraw
930,Sułkowice
931,Tokarnia
932,Wiśniowa
933,Chełmiec
934,Gródek nad Dunajcem
935,Grybów
936,Grybów
937,Kamionka Wielka
938,Korzenna
939,Krynica-Zdrój
940,Łabowa
941,Łącko
942,Łososina Dolna
943,Muszyna
944,Nawojowa
945,Piwniczna-Zdrój
946,Podegrodzie
947,Rytro
948,Stary Sącz
949,Czarny Dunajec
950,Czorsztyn
951,Jabłonka
952,Krościenko nad Dunajcem
953,Lipnica Wielka
954,Łapsze Niżne
955,Nowy Targ
956,Nowy Targ
957,Ochotnica Dolna
958,Raba Wyżna
959,Rabka-Zdrój
960,Spytkowice
961,Szaflary
962,Szczawnica
963,Nowy Sącz
964,Bolesław
965,Bukowno
966,Klucze
967,Olkusz
968,Trzyciąż
969,Wolbrom
970,Brzeszcze
971,Chełmek
972,Kęty
973,Osiek
974,Oświęcim
975,Oświęcim
976,Polanka Wielka
977,Przeciszów
978,Zator
979,Koniusza
980,Koszyce
981,Nowe Brzesko
982,Pałecznica
983,Proszowice
984,Radziemice
985,Budzów
986,Bystra-Sidzina
987,Jordanów
988,Jordanów
989,Maków Podhalański
990,Stryszawa
991,Sucha Beskidzka
992,Zawoja
993,Zembrzyce
994,Ciężkowice
995,Gromnik
996,Lisia Góra
997,Pleśna
998,Radłów
999,Ryglice
1000,Rzepiennik Strzyżewski
1001,Skrzyszów
1002,Szerzyny
1003,Tarnów
1004,Tuchów
1005,Wierzchosławice
1006,Wietrzychowice
1007,Wojnicz
1008,Zakliczyn
1009,Żabno
1010,Tarnów
1011,Biały Dunajec
1012,Bukowina Tatrzańska
1013,Kościelisko
1014,Poronin
1015,Zakopane
1016,Andrychów
1017,Brzeźnica
1018,Kalwaria Zebrzydowska
1019,Lanckorona
1020,Mucharz
1021,Spytkowice
1022,Stryszów
1023,Tomice
1024,Wadowice
1025,Wieprz
1026,Biskupice
1027,Gdów
1028,Kłaj
1029,Niepołomice
1030,Wieliczka
1031,Białobrzegi
1032,Promna
1033,Radzanów
1034,Stara Błotnica
1035,Stromiec
1036,Wyśmierzyce
1037,Ciechanów
1038,Ciechanów
1039,Glinojeck
1040,Gołymin-Ośrodek
1041,Grudusk
1042,Ojrzeń
1043,Opinogóra Górna
1044,Regimin
1045,Sońsk
1046,Borowie
1047,Garwolin
1048,Garwolin
1049,Górzno
1050,Łaskarzew
1051,Łaskarzew
1052,Maciejowice
1053,Miastków Kościelny
1054,Parysów
1055,Pilawa
1056,Sobolew
1057,Trojanów
1058,Wilga
1059,Żelechów
1060,Gostynin
1061,Gostynin
1062,Pacyna
1063,Sanniki
1064,Szczawin Kościelny
1065,Baranów
1066,Baranów
1067,Grodzisk Mazowiecki
1068,Grodzisk Mazowiecki
1069,Jaktorów
1070,Jaktorów
1071,Milanówek
1072,Milanówek
1073,Podkowa Leśna
1074,Podkowa Leśna
1075,Żabia Wola
1076,Żabia Wola
1077,Belsk Duży
1078,Błędów
1079,Chynów
1080,Goszczyn
1081,Grójec
1082,Jasieniec
1083,Mogielnica
1084,Nowe Miasto nad Pilicą
1085,Pniewy
1086,Warka
1087,Garbatka-Letnisko
1088,Głowaczów
1089,Gniewoszów
